Original Name,Test Case Name,Test Type,Label,Bridger Score
IRAN MOBIN ELECTRONIC DEVELOPMENT COMPANY,A IRAN MOBIN ELECTRONIC DEVELOPMENT COMPANY AN AN,Fuzzy Match,Match,97
RAH NEGAR PARS MIDDLE EAST COMPANY,RAH NEGAR PARS MIDDLE EAST COMPANY A,Fuzzy Match,Match,100
AGROPECUARIA PALMA DEL RIO S.A.,AGROPECUARIA PALMA DEL RIO S.A. AN,Fuzzy Match,Match,96
INTERNATIONAL CENTER FOR QUANTUM OPTICS AND QUANTUM TECHNOLOGIES LIMITED LIABILITY COMPANY,INTERNATIONAL CENTER FOR QUANTUM OPTICS AND QUANTUM TECHNOLOGIES LIMITED LIABILITY COMPANY AN,Fuzzy Match,Match,100
BRAVERY MARITIME CORPORATION,BRAVERY MARITIME CORPORATION AN,Fuzzy Match,Match,96
AKTSIONERNOE OBSHCHESTVO VERKHNEUFALEISKII ZAVOD URALELEMENT,AKTSIONERNOE OBSHCHESTVO VERKHNEUFALEISKII ZAVOD URALELEMENT OF,Fuzzy Match,Match,100
ASKATASUNA,ASKATASUNA AN,Fuzzy Match,Match,100
DAMASCUS CHAM FOR MANAGEMENT LLC,DAMASCUS CHAM FOR MANAGEMENT LLC OF,Fuzzy Match,Match,100
ORIENT CLUB,ORIENT CLUB OF,Fuzzy Match,Match,97
"BELNEFTEKHIM USA, INC.","BELNEFTEKHIM USA, INC. AN",Fuzzy Match,Match,96
TECHNOTAR ENGINEERING COMPANY,TECHNOTAR ENGINEERING COMPANY AN,Fuzzy Match,Match,96
VIRGO MARINE,VIRGO MARINE OR OR,Fuzzy Match,Match,96
AL FAY COMPANY,AL FAY COMPANY AN AN,Fuzzy Match,Match,92
CHONMYONG SHIPPING CO,CHONMYONG SHIPPING CO OR OR,Fuzzy Match,Match,98
EMC SUD LIMITED,EMC SUD LIMITED A A,Fuzzy Match,Match,97
JOSE PIELES,JOSE PIELES OR OR,Fuzzy Match,Match,96
LIMITED LIABILITY COMPANY MARKET FUND ADMINISTRATION,LIMITED LIABILITY COMPANY MARKET FUND ADMINISTRATION A A,Fuzzy Match,Match,97
MAHROUS GROUP,MAHROUS GROUP OR OR,Fuzzy Match,Match,89
ALALAMIYAH EXPRESS COMPANY FOR EXCHANGE AND REMITTANCE,ALALAMIYAH EXPRESS COMPANY FOR EXCHANGE AND REMITTANCE AN AN,Fuzzy Match,Match,98
"BOUNGALOWS VILLA AZUL, S.A. DE C.V.","BOUNGALOWS VILLA AZUL, S.A. DE C.V. OR OR",Fuzzy Match,Match,88
BANDAR IMAM BESPARAN PETROCHEMICAL COMPANY,BANDAR IMAM BESPARAN PETROCHEMICAL COMPANY OF OF,Fuzzy Match,Match,99
"CANCRI GEMS & JEWELLERY CO., LTD.","CANCRI GEMS & JEWELLERY CO., LTD. AN OR",Fuzzy Match,Match,99
BENEVOLENCE INTERNATIONAL FUND,BENEVOLENCE INTERNATIONAL FUND OR OF,Fuzzy Match,Match,97
OOO OBORONNYE INITSIATIVY,OOO OBORONNYE INITSIATIVY AN OR,Fuzzy Match,Match,97
TURIRA COMPANY,TURIRA COMPANY OR AN,Fuzzy Match,Match,89
TRANSSERVICE LLC,TRANSSERVICE LLC A AN,Fuzzy Match,Match,89
"HACIENDA CIEN ANOS DE TIJUANA, S. DE R.L. DE C.V.","HACIENDA CIEN ANOS DE TIJUANA, S. DE R.L. DE C.V. AN OR",Fuzzy Match,Match,91
LACNO S.R.O.,LACNO S.R.O. OR AN,Fuzzy Match,Match,83
PRIVATE JOINT-STOCK COMPANY MAKO HOLDING,PRIVATE JOINT-STOCK COMPANY MAKO HOLDING AN OF,Fuzzy Match,Match,98
INVERSIONES C.P.C.L. Y CIA. S. EN C.S.,INVERSIONES C.P.C.L. Y CIA. S. EN C.S. OF OF,Fuzzy Match,Match,78
HAMAS,HAMAS AN A,Fuzzy Match,Match,100
LOYALIST VOLUNTEER FORCE,LOYALIST VOLUNTEER FORCE CFO,Fuzzy Match,Match,99
VAKILABAD PRISON,VAKILABAD PRISON Assistant,Fuzzy Match,Match,100
STATE ENTERPRISE FEODOSIA SEA TRADING PORT,STATE ENTERPRISE FEODOSIA SEA TRADING PORT Assistant,Fuzzy Match,Match,100
"T-RUBBER CO., LTD","T-RUBBER CO., LTD Vice President",Fuzzy Match,Match,94
COMPANIA DE FOMENTO MERCANTIL S.A.,COMPANIA DE FOMENTO MERCANTIL S.A. COO,Fuzzy Match,Match,96
MEZA FLORES DRUG TRAFFICKING ORGANIZATION,MEZA FLORES DRUG TRAFFICKING ORGANIZATION CTO,Fuzzy Match,Match,100
TRANSSERVICE LLC,TRANSSERVICE LLC Executive Vice Presiden,Fuzzy Match,Match,83
BELVNESHPROMSERVICE,BELVNESHPROMSERVICE PTE,Fuzzy Match,Match,98
AL FAY COMPANY,AL FAY COMPANY COO,Fuzzy Match,Match,94
HOMS REFINERY COMPANY,HOMS REFINERY COMPANY Assistant,Fuzzy Match,Match,100
DVE STOLITSY OOO,CFO DVE STOLITSY OOO,Fuzzy Match,Match,94
BELSHINA OAO,CTO BELSHINA OAO,Fuzzy Match,Match,84
SOUTH SHIPPING LINES - IRAN LINE,COO SOUTH SHIPPING LINES - IRAN LINE,Fuzzy Match,Match,98
JSC SVETLANA POLUPROVODNIKI,Executive Vice Presiden JSC SVETLANA POLUPROVODNIKI,Fuzzy Match,Match,97
IRAN TIRE MANUFACTURING COMPANY,COO IRAN TIRE MANUFACTURING COMPANY,Fuzzy Match,Match,96
KODO-KAI,Assistant KODO-KAI,Fuzzy Match,Match,100
BU ALI GROUP,COO BU ALI GROUP,Fuzzy Match,Match,91
DJECO GROUP HOLDING LTD,Senior Vice President DJECO GROUP HOLDING LTD,Fuzzy Match,Match,92
MINERA RIO PRESIDIO S.A. DE C.V.,President MINERA RIO PRESIDIO S.A. DE C.V.,Fuzzy Match,Match,100
GARBIN NAVIGATION LTD,Senior Vice President GARBIN NAVIGATION LTD,Fuzzy Match,Match,86
"AUDIO ALARMAS, S.A. DE C.V.","CFO AUDIO ALARMAS, S.A. DE C.V. CFO",Fuzzy Match,Match,84
KINGS ROMANS INTERNATIONAL INVESTMENT CO. LIMITED,Executive Vice Presiden KINGS ROMANS INTERNATIONAL INVESTMENT CO. LIMITED Executive Vice Presiden,Fuzzy Match,Match,97
DIRECTORATE OF PROCUREMENT OF THE COMMANDER-IN-CHIEF OF DEFENSE SERVICES ARMY,PTE DIRECTORATE OF PROCUREMENT OF THE COMMANDER-IN-CHIEF OF DEFENSE SERVICES ARMY PTE,Fuzzy Match,Match,97
OAO 'DOLGOPRUDNY RESEARCH PRODUCTION ENTERPRISE',Assistant OAO 'DOLGOPRUDNY RESEARCH PRODUCTION ENTERPRISE' Assistant,Fuzzy Match,Match,100
JAMARO CONSTRUCTORES S.A. DE C.V.,CTO JAMARO CONSTRUCTORES S.A. DE C.V. CTO,Fuzzy Match,Match,84
ANSAR BANK,CFO ANSAR BANK CFO,Fuzzy Match,Match,88
VELINVESTMENT D.O.O.,CFO VELINVESTMENT D.O.O. CFO,Fuzzy Match,Match,76
ADJ TRADING LIMITED,COO ADJ TRADING LIMITED COO,Fuzzy Match,Match,93
PERU TOTAL MARKET E.I.R.L.,CFO PERU TOTAL MARKET E.I.R.L. CFO,Fuzzy Match,Match,94
MIRAGE FOR WASTE MANAGEMENT AND ENVIRONMENTAL SERVICES SARL,COO MIRAGE FOR WASTE MANAGEMENT AND ENVIRONMENTAL SERVICES SARL COO,Fuzzy Match,Match,98
ELECTRONICS KATRANGI TRADING,Vice President ELECTRONICS KATRANGI TRADING Vice President,Fuzzy Match,Match,98
TARABAR-GOROUS TRUST TRANSPORTATION,President TARABAR-GOROUS TRUST TRANSPORTATION President,Fuzzy Match,Match,98
REPUTABLE TRADING SOURCE LLC,COO REPUTABLE TRADING SOURCE LLC COO,Fuzzy Match,Match,96
SAKAN GENERAL TRADING,PTE SAKAN GENERAL TRADING PTE,Fuzzy Match,Match,94
SYRIAN ARAB REPUBLICAN GUARD,Assistant SYRIAN ARAB REPUBLICAN GUARD Assistant,Fuzzy Match,Match,100
PHYONGCHON SHIPPING & MARINE,Vice President PHYONGCHON SHIPPING & MARINE Vice President,Fuzzy Match,Match,97
JOINT STOCK COMPANY SANATORIUM DYULBER,Vice President JOINT STOCK COMPANY SANATORIUM DYULBER Vice President,Fuzzy Match,Match,97
NAVAL DEFENCE MISSILE INDUSTRY GROUP,President NAVAL DEFENCE MISSILE INDUSTRY GROUP President,Fuzzy Match,Match,99
RAPART SERVISEZ,CMO RAPART SERVISEZ CMO,Fuzzy Match,Match,93
LLC NM-TEKH,CFO LLC NM-TEKH CFO,Fuzzy Match,Match,94
INMOBILIARIA PASADENA LTDA.,Australia INMOBILIARIA PASADENA LTDA.,Fuzzy Match,Match,94
"RESIDENCIAL CANAL VIEW, S.A.","Poland RESIDENCIAL CANAL VIEW, S.A.",Fuzzy Match,Match,97
MATIN SANAT NIK ANDISHAN,Spain MATIN SANAT NIK ANDISHAN,Fuzzy Match,Match,97
OOO YUNIDZHET,Sweden OOO YUNIDZHET,Fuzzy Match,Match,79
JOINT STOCK COMPANY SCIENTIFIC RESEARCH INSTITUTE GIRICOND,Poland JOINT STOCK COMPANY SCIENTIFIC RESEARCH INSTITUTE GIRICOND,Fuzzy Match,Match,99
VIHROGONIKA AD,Mexico VIHROGONIKA AD,Fuzzy Match,Match,79
COMERCIAL PLANETA,Indonesia COMERCIAL PLANETA,Fuzzy Match,Match,87
AL ZAROONI EXCHANGE,Austria AL ZAROONI EXCHANGE,Fuzzy Match,Match,93
AL-NUSRAH FRONT,Japan AL-NUSRAH FRONT,Fuzzy Match,Match,95
JOINT STOCK COMPANY PRODUCTION ASSOCIATION SEVER,Poland JOINT STOCK COMPANY PRODUCTION ASSOCIATION SEVER,Fuzzy Match,Match,95
GLORY ADVANCED LIMITED,France GLORY ADVANCED LIMITED France,Fuzzy Match,Match,94
NPC INTERNATIONAL,Argentina NPC INTERNATIONAL Argentina,Fuzzy Match,Match,88
GAVIOTAS LTDA.,Brazil GAVIOTAS LTDA. Brazil,Fuzzy Match,Match,79
ARCHI CENTRE I.C.E. LIMITED,Japan ARCHI CENTRE I.C.E. LIMITED Japan,Fuzzy Match,Match,98
PARTHIA CARGO LLC,Belgium PARTHIA CARGO LLC Belgium,Fuzzy Match,Match,94
AL MASHREQ INVESTMENT FUND,Poland AL MASHREQ INVESTMENT FUND Poland,Fuzzy Match,Match,95
"RK BRIZ, OOO","South Korea RK BRIZ, OOO South Korea",Fuzzy Match,Match,97
"PAPA PETROLEUM CO., LTD.","Mexico PAPA PETROLEUM CO., LTD. Mexico",Fuzzy Match,Match,94
ECONOMY TODAY LLC,Brazil ECONOMY TODAY LLC Brazil,Fuzzy Match,Match,94
PARS MCS,Mexico PARS MCS Mexico,Fuzzy Match,Match,93
"DZINIKASHVILI, Dmitriy Vladimirovich","Dane Dane DZINIKASHVILI, Dmitriy Vladimirovich",Fuzzy Match,Match,94
"NOWBAHAR, Abdullah","Beth Beth NOWBAHAR, Abdullah",Fuzzy Match,Match,94
"KOGAN, Alexander Borisovich","Stephanie Stephanie KOGAN, Alexander Borisovich",Fuzzy Match,Match,94
"PHUANGPHET, Suwit","Elizabeth Elizabeth PHUANGPHET, Suwit",Fuzzy Match,Match,94
"VINOKUROVA, Yekaterina Sergeyevna","Virginia Virginia VINOKUROVA, Yekaterina Sergeyevna",Fuzzy Match,Match,94
"KALASHNIKOV, Leonid Ivanovich","Chrystal Chrystal KALASHNIKOV, Leonid Ivanovich",Fuzzy Match,Match,94
"IMANIRAD, Mohammad Javad","John John IMANIRAD, Mohammad Javad",Fuzzy Match,Match,94
"BELTRAN SANCHEZ, Hector Manuel","Herschel Herschel BELTRAN SANCHEZ, Hector Manuel",Fuzzy Match,Match,94
"ADEN, Mohamoud Abdi","Derrick Derrick ADEN, Mohamoud Abdi",Fuzzy Match,Match,94
"GASILOV, Andrei Valeryevich","Michelle Michelle GASILOV, Andrei Valeryevich",Fuzzy Match,Match,94
"OGUNGBUYI, Oluwole A.","George George OGUNGBUYI, Oluwole A.",Fuzzy Match,Match,94
"JELAVIC, Ante","Joe Joe JELAVIC, Ante",Fuzzy Match,Match,94
"KLYUEV, Dmitry Vladislavovich","Sofia Sofia KLYUEV, Dmitry Vladislavovich",Fuzzy Match,Match,94
"AGUILAR GARCIA, Marvin Ramiro","Cleo Cleo AGUILAR GARCIA, Marvin Ramiro",Fuzzy Match,Match,94
"HLAING, Khin","Steven Steven HLAING, Khin",Fuzzy Match,Match,94
"PERMINOV, Sergey Nikolayevich","Isabel Isabel PERMINOV, Sergey Nikolayevich",Fuzzy Match,Match,94
"FADLALLAH, Shaykh Muhammad Husayn","Andrea Andrea FADLALLAH, Shaykh Muhammad Husayn",Fuzzy Match,Match,94
"AL-GHAIB, Seyyed Heshmatollah Hayat","Harlan Harlan AL-GHAIB, Seyyed Heshmatollah Hayat",Fuzzy Match,Match,94
"BADI, Salah","Micheal Micheal BADI, Salah",Fuzzy Match,Match,94
"AL-MANSOORI, Ali Hussein Falih","Eusebia Eusebia AL-MANSOORI, Ali Hussein Falih",Fuzzy Match,Match,94
GENERAL DIRECTORATE OF MILITARY COUNTERINTELLIGENCE,Frazier Frazier Frazier GENERAL DIRECTORATE OF MILITARY COUNTERINTELLIGENCE,Fuzzy Match,Match,94
MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,Johnson Johnson Johnson MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,Fuzzy Match,Match,95
JOINT STOCK COMPANY SMOLENSK AIRCRAFT PLANT,Windmeyer Windmeyer Windmeyer JOINT STOCK COMPANY SMOLENSK AIRCRAFT PLANT,Fuzzy Match,Match,99
AL-HARAMAIN : AFGHANISTAN BRANCH,Robinson Robinson Robinson AL-HARAMAIN : AFGHANISTAN BRANCH,Fuzzy Match,Match,94
UNION ABARROTERO DE JALISCO S.C. DE R.L. DE C.V.,Daniel Daniel Daniel UNION ABARROTERO DE JALISCO S.C. DE R.L. DE C.V.,Fuzzy Match,Match,97
"LA FIRMA MIRANDA, S.A. DE C.V.","Sumner Sumner Sumner LA FIRMA MIRANDA, S.A. DE C.V.",Fuzzy Match,Match,100
GENERAL DIRECTORATE OF SYRIAN PORTS,Cook Cook Cook GENERAL DIRECTORATE OF SYRIAN PORTS,Fuzzy Match,Match,94
TADBIR BROKERAGE COMPANY,Henry Henry Henry TADBIR BROKERAGE COMPANY,Fuzzy Match,Match,96
"DALIAN SUN MOON STAR INTERNATIONAL LOGISTICS TRADING CO., LTD","Walk Walk Walk DALIAN SUN MOON STAR INTERNATIONAL LOGISTICS TRADING CO., LTD",Fuzzy Match,Match,95
KOREA UNGUM CORPORATION,Miller Miller Miller KOREA UNGUM CORPORATION,Fuzzy Match,Match,96
JAMA'AT UL DAWA AL-QU'RAN,Maria JAMA'AT UL DAWA AL-QU'RAN,Fuzzy Match,Match,98
UNION OF GOOD,Sandra UNION OF GOOD,Fuzzy Match,Match,93
GOLDPHARMA DRUG TRAFFICKING & MONEY LAUNDERING ORGANIZATION,Robert GOLDPHARMA DRUG TRAFFICKING & MONEY LAUNDERING ORGANIZATION,Fuzzy Match,Match,99
SIGURO EOOD,Walter SIGURO EOOD,Fuzzy Match,Match,79
JOINT STOCK COMPANY CONCERN GRANIT-ELECTRON,Debra JOINT STOCK COMPANY CONCERN GRANIT-ELECTRON,Fuzzy Match,Match,98
ISLAMIC REVOLUTIONARY GUARD CORPS ELECTRONIC WARFARE AND CYBER DEFENSE ORGANIZATION,Michael ISLAMIC REVOLUTIONARY GUARD CORPS ELECTRONIC WARFARE AND CYBER DEFENSE ORGANIZATION,Fuzzy Match,Match,99
"GRUPO CIMA PANAMA, S.A.","John GRUPO CIMA PANAMA, S.A.",Fuzzy Match,Match,96
PALM SERVICE LIMITED,John PALM SERVICE LIMITED,Fuzzy Match,Match,90
"LA FIRMA MIRANDA, S.A. DE C.V.","Nicole LA FIRMA MIRANDA, S.A. DE C.V.",Fuzzy Match,Match,98
MOBIN INTERNATIONAL LIMITED,Johnnie MOBIN INTERNATIONAL LIMITED,Fuzzy Match,Match,90
NORD PROJECT LLC TRANSPORT COMPANY,Kelly Kelly NORD PROJECT LLC TRANSPORT COMPANY,Fuzzy Match,Match,97
OPUS ENERGY TRADING LLC,Walter Walter OPUS ENERGY TRADING LLC,Fuzzy Match,Match,88
CECEP EDITORES S.A.,Darrell Darrell CECEP EDITORES S.A.,Fuzzy Match,Match,83
LLC RUSCHEMTRADE,Frank Frank LLC RUSCHEMTRADE,Fuzzy Match,Match,75
BEIRUT TRADE SAL,James James BEIRUT TRADE SAL,Fuzzy Match,Match,87
AQUANIKA,Debra Debra AQUANIKA,Fuzzy Match,Match,NO MATCH
EDICIONES CUBANAS,Terry Terry EDICIONES CUBANAS,Fuzzy Match,Match,88
LITTLE CONNEMARA 1 FARM,Roger Roger LITTLE CONNEMARA 1 FARM,Fuzzy Match,Match,96
ALUMIX,Danna Danna ALUMIX,Fuzzy Match,Match,96
FARADARYAY-E NIK-E GHESHM INVESTMENT,Lori Lori FARADARYAY-E NIK-E GHESHM INVESTMENT,Fuzzy Match,Match,94
ESTABLO PUERTO RICO S.A. DE C.V.,Winnie Winnie ESTABLO PUERTO RICO S.A. DE C.V.,Fuzzy Match,Match,97
SOUTH SHIPPING LINES - IRAN LINE,Michael Michael SOUTH SHIPPING LINES - IRAN LINE,Fuzzy Match,Match,94
YOUCHEM GENERAL TRADING FZE,Michelle Michelle YOUCHEM GENERAL TRADING FZE,Fuzzy Match,Match,88
LA FRONTERA UNION GALVEZ Y CIA S EN C,Myrle Myrle LA FRONTERA UNION GALVEZ Y CIA S EN C,Fuzzy Match,Match,98
SAHLOUL MONEY EXCHANGE COMPANY,Linda Linda SAHLOUL MONEY EXCHANGE COMPANY,Fuzzy Match,Match,88
KHORASAN STEEL COMPANY,William William KHORASAN STEEL COMPANY,Fuzzy Match,Match,87
FEDERAL SERVICE FOR MILITARY-TECHNICAL COOPERATION,John John FEDERAL SERVICE FOR MILITARY-TECHNICAL COOPERATION,Fuzzy Match,Match,94
AGROPECUARIA MIRALINDO S.A.,Nancy Nancy AGROPECUARIA MIRALINDO S.A.,Fuzzy Match,Match,83
ALIMENTOS CARNICOS DE TRADICION ESPANOLA LTDA.,Randy Randy ALIMENTOS CARNICOS DE TRADICION ESPANOLA LTDA.,Fuzzy Match,Match,95
MULTIMAT IC VE DIS TICARET PAZARLAMA LIMITED SIRKETI,Paulette Paulette MULTIMAT IC VE DIS TICARET PAZARLAMA LIMITED SIRKETI,Fuzzy Match,Match,94
"MUSTAFA, Ibrahim","Gerth Gerth Gerth MUSTAFA, Ibrahim",Fuzzy Match,Match,91
"GUSAKOVSKY, Alexander Vladislavovich","Barnes Barnes Barnes GUSAKOVSKY, Alexander Vladislavovich",Fuzzy Match,Match,91
"MUN, Kyong Hwan","Hachting Hachting Hachting MUN, Kyong Hwan",Fuzzy Match,Match,91
"MOSTAFANEJAD, Vali","Mccann Mccann Mccann MOSTAFANEJAD, Vali",Fuzzy Match,Match,91
"HEATH, Noel Timothy","Bettendorf Bettendorf Bettendorf HEATH, Noel Timothy",Fuzzy Match,Match,91
"KAZAKOVA, Olga Mikhailovna","Reynolds Reynolds Reynolds KAZAKOVA, Olga Mikhailovna",Fuzzy Match,Match,91
"GORYACHEVA, Ksenia Alexandrovna","Shingler Shingler Shingler GORYACHEVA, Ksenia Alexandrovna",Fuzzy Match,Match,91
"TORRES MARTINEZ, Camilo","Gehling Gehling Gehling TORRES MARTINEZ, Camilo",Fuzzy Match,Match,91
"HASAN YUSUF, Ahmad","Olsen Olsen Olsen HASAN YUSUF, Ahmad",Fuzzy Match,Match,91
"AZAM, Amir","Lemaster Lemaster Lemaster AZAM, Amir",Fuzzy Match,Match,91
"'ALAMAH, Jihad Salim","Vallejo Vallejo Vallejo 'ALAMAH, Jihad Salim",Fuzzy Match,Match,91
"BASEVIC, Dragan","Moffett Moffett Moffett BASEVIC, Dragan",Fuzzy Match,Match,91
"HASHEMI, Seyed Mohammad","Darnell Darnell Darnell HASHEMI, Seyed Mohammad",Fuzzy Match,Match,91
"SHUVALOV, Igor Ivanovich","Sokoloski Sokoloski Sokoloski SHUVALOV, Igor Ivanovich",Fuzzy Match,Match,91
"AGUIRRE GALINDO, Manuel","Huckaby Huckaby Huckaby AGUIRRE GALINDO, Manuel",Fuzzy Match,Match,91
"PRIBYSHIN, Taras Kirillovich","Cartwright Cartwright Cartwright PRIBYSHIN, Taras Kirillovich",Fuzzy Match,Match,91
"FLORES HALA, Florindo Eleuterio","Nelson Nelson Nelson FLORES HALA, Florindo Eleuterio",Fuzzy Match,Match,91
"MARTINEZ CANTABRANA, Cesar","Ramon Ramon Ramon MARTINEZ CANTABRANA, Cesar",Fuzzy Match,Match,91
"MARIN ARANGO, Luciano","Brock Brock Brock MARIN ARANGO, Luciano",Fuzzy Match,Match,91
"KASADHA, Amisi","Hills Hills Hills KASADHA, Amisi",Fuzzy Match,Match,91
"HERNANDEZ DALA, Ivan Rafael","Nance Nance HERNANDEZ DALA, Ivan Rafael",Fuzzy Match,Match,94
"KIM, Pyong Chan","Vazquez Vazquez KIM, Pyong Chan",Fuzzy Match,Match,94
"RYBALSKIY, Yakov","Brown Brown RYBALSKIY, Yakov",Fuzzy Match,Match,94
"MANDEL, Andrei Sergeevich","Vogt Vogt MANDEL, Andrei Sergeevich",Fuzzy Match,Match,94
"NEMARIAM, Abraha Kassa","Rains Rains NEMARIAM, Abraha Kassa",Fuzzy Match,Match,94
"SHEIKH, Muhammad Naeem","Mcgowan Mcgowan SHEIKH, Muhammad Naeem",Fuzzy Match,Match,94
"ORDOUBADI, Nader Talebzadeh","Dietrick Dietrick ORDOUBADI, Nader Talebzadeh",Fuzzy Match,Match,94
"MORDASHOV, Nikita Alekseyevich","Jones Jones MORDASHOV, Nikita Alekseyevich",Fuzzy Match,Match,94
"MOSTAFAEI, Saeed","Tainter Tainter MOSTAFAEI, Saeed",Fuzzy Match,Match,94
"SANDOVAL LOPEZ, Pablo Roberto","Molina Molina SANDOVAL LOPEZ, Pablo Roberto",Fuzzy Match,Match,94
"FELIX BELTRAN, Victor Manuel","Burnett Sather FELIX BELTRAN, Victor Manuel",Fuzzy Match,Match,94
"FLOREZ SEPULVEDA, Marco Tulio","Myers Jones FLOREZ SEPULVEDA, Marco Tulio",Fuzzy Match,Match,94
"MORDASHOVA, Marina Aleksandrovna","Jenkins Fike MORDASHOVA, Marina Aleksandrovna",Fuzzy Match,Match,94
"MORENETS, Aleksei Sergeyevich","Castro Stumpf MORENETS, Aleksei Sergeyevich",Fuzzy Match,Match,94
"TARABAIN CHAMAS, Mohamad","Singleton Talley TARABAIN CHAMAS, Mohamad",Fuzzy Match,Match,94
"TSYB, Sergey Anatolyevich","Leonard Shippey TSYB, Sergey Anatolyevich",Fuzzy Match,Match,94
"CORONEL VILLAREAL, Ignacio","Vaca Nichols CORONEL VILLAREAL, Ignacio",Fuzzy Match,Match,94
"REHMAN, Abdur","Bogdon Brennan REHMAN, Abdur",Fuzzy Match,Match,94
"ABBATAY, Muhammad","Buck Bowles ABBATAY, Muhammad",Fuzzy Match,Match,94
"AL-NAQIB, Zuhair Talib abd-al-Sattar","Thompson Dalton AL-NAQIB, Zuhair Talib abd-al-Sattar",Fuzzy Match,Match,94
TARIQ GIDAR GROUP,Hattie Hattie Hattie TARIQ GIDAR GROUP,Fuzzy Match,Match,96
DESARROLLOS AGROINDUSTRIALES S.A.,Ann Ann Ann DESARROLLOS AGROINDUSTRIALES S.A.,Fuzzy Match,Match,98
FAN PARDAZAN,Clara Clara Clara FAN PARDAZAN,Fuzzy Match,Match,87
LOCHINVAR FARM,Alejandro Alejandro Alejandro LOCHINVAR FARM,Fuzzy Match,Match,94
BRANCH 1 OF THE SHIRAZ REVOLUTIONARY COURT,William William William BRANCH 1 OF THE SHIRAZ REVOLUTIONARY COURT,Fuzzy Match,Match,94
INTERNATIONAL ANTICRISIS CENTER,Anna Anna Anna INTERNATIONAL ANTICRISIS CENTER,Fuzzy Match,Match,97
MYANMAR ECONOMIC CORPORATION LIMITED,Diana Diana Diana MYANMAR ECONOMIC CORPORATION LIMITED,Fuzzy Match,Match,96
FEODOSIYA ENTERPRISE,Dora Dora Dora FEODOSIYA ENTERPRISE,Fuzzy Match,Match,71
KOREA TAESONG TRADING COMPANY,Jim Jim Jim KOREA TAESONG TRADING COMPANY,Fuzzy Match,Match,98
